,symbol,stock_return_100,market_return_100,sentiment,market_cap,ebitda,pe_ratio,peg_ratio,book_value,dividend_per_share,dividend_yield,eps,revenue_per_share,profit_margin,operating_margin,return_on_assets,return_on_equity,revenue,gross_profit,diluted_eps,quarterly_earnings_growth,quarterly_revenue_growth,trailing_pe,forward_pe,price_to_sales_ratio,price_to_book_ratio,ev_to_revenue,ev_to_ebitda,beta,outperformed
7448,VSTM,-0.07038512616201865,0.09360718955319823,0.10119475609756101,74077000,-72819000,None,-1.89,0.236,0,0,-0.37,0.013,0,-28.1,-0.448,-1.094,2596000,2596000,-0.37,0,-1,-,-,51.84,1.504,5.63,-0.245,0.807,False
7449,VSTO,0.10340479192938214,0.09360718955319823,0.08836531192660552,1482453000,679251000,3.728,0.73,25.11,0,0,6.98,55.77,0.126,0.188,0.13,0.324,3147660000,1111607000,6.98,-0.435,-0.05,3.728,6.19,0.424,1.077,0.876,3.998,0.963,True
7450,VTEX,-0.0026666666666666098,0.09360718955319823,0.14857563414634148,706531000,-47088000,None,None,1.454,0,0,-0.28,0.827,-0.333,-0.317,-0.0808,-0.174,157620000,104788000,-0.28,0,0.225,-,104.17,4.751,2.573,3.244,-10.23,None,False
7451,VTGN,0.19094138543516864,0.09360718955319823,0.04176697727272727,28249200,-63587100,None,0,0.1,0,0,-0.3,-0.002,0,175.06,-0.662,-1.266,-364000,1108900,-0.3,0,-0.498,-,-,23.15,0.838,44.96,0.131,1.097,True
7452,VTLE,-0.1849315068493151,0.09360718955319823,0.21610536363636365,868249000,1181179000,1.115,None,60.44,0,0,46.31,121.34,0.36,0.432,0.216,1.191,2026889000,919042000,46.31,1.346,0.224,1.115,-,-,-,-,-,3.398,False
7453,VTNR,0.16010165184243974,0.09360718955319823,0.09220024218750002,690856000,65657000,None,-0.13,2.164,0,0,-0.25,39.49,-0.0017,0.0174,0.0635,-0.14,2791715000,193439000,-0.25,1.269,13.62,-,3.526,0.237,4.037,0.332,-234.8,2.065,True
7454,VTOL,-0.09325396825396817,0.09360718955319823,0.21744534482758626,634761000,118452000,39.07,None,28.14,0,0,0.58,41.75,0.0079,0.0341,0.0136,0.0113,1173462000,276252000,0.58,4.901,0.068,39.07,-,0.604,0.933,1.052,8.56,1.373,False
7455,VTR,0.03293887590521742,0.09360718955319823,0.14954697916666668,17177126000,1618123000,None,2.285,25.4,1.8,0.0422,-0.1,10.3,-0.0115,0.141,0.0148,-0.0038,4116258000,1813583000,-0.1,-0.98,0.037,-,25.51,4.535,1.753,7.42,18.96,1.215,False
7456,VTRS,-0.10039006259700603,0.09360718955319823,0.14924551499999994,11728738000,5700900000,5.73,None,17.36,0.48,0.0499,1.71,13.42,0.128,0.175,0.0339,0.1,16262700000,7031900000,1.71,0.126,-0.107,5.73,3.353,0.808,0.681,1.934,6.97,1.188,False
7457,VTRU,-0.08671839342765854,0.09360718955319823,0.11268745588235293,762342000,351285000,36.91,None,64.55,0,0,0.57,48.97,0.0708,0.205,0.0469,0.0576,1317346000,824115000,0.57,8.42,1.596,36.91,51.55,0.7,2.285,1.085,3.584,-0.146,False
7458,VTS,,0.09360718955319823,0.3221253333333333,408532000,None,22.55,None,None,None,None,3.053,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,None,False
7459,VTS-W,,0.09360718955319823,,,,,,,,,,,,,,,,,,,,,,,,,,,False
7460,VTSI,0.09375000000000004,0.09360718955319823,0.1429933333333333,57216000,1366200,21,0.796,2.961,0,0,0.25,2.611,0.0203,0.0171,0.0058,0.0181,28297700,11405200,0.25,0.408,-0.195,21,27.86,1.602,1.412,1.4,22.81,0.696,True
7461,VTVT,-0.14954896206934035,0.09360718955319823,0.141607756097561,64169000,-22448000,None,0,-0.132,0,0,-0.26,0.027,0,-11.17,-0.48,-2.381,2018000,-9933000,-0.26,0,0,-,-,27.65,-,22.42,-1.607,-1.106,False
7462,VTYX,0.27855960264900664,0.09360718955319823,0.1593056086956521,1838353000,-113013000,None,None,6.21,0,0,-2.01,0,0,0,-0.213,-0.343,0,0,-2.01,0,0,-,-,-,5.01,-,-16.69,None,True
7463,VUZI,-0.05411764705882363,0.09360718955319823,0.16246143859649131,254095000,-39891008,None,0,1.844,0,0,-0.67,0.186,0,-3.575,-0.188,-0.313,11835900,2282400,-0.67,0,-0.126,-,-,21.12,2.096,14.17,-4.418,2.026,False
7464,VVI,-0.3274974253347065,0.09360718955319823,0.20509538461538462,432228000,104012000,39.8,2.496,0.701,0,0.024,0.51,54.75,0.0206,0.0495,0.0328,0.106,1127311000,69211000,0.51,1.975,0.351,39.8,37.45,0.55,75.79,1.03,10.44,1.772,False
7465,VVOS,-0.4514516129032258,0.09360718955319823,0.1090382549019608,8531600,-24800000,None,None,0.428,0,0,-1.29,0.76,0,0,-0.536,-1.188,16468000,12604000,-1.29,0,-0.066,-,-,0.469,0.43,0.0765,0.289,2.832,False
7466,VVPR,0.1196680613668062,0.09360718955319823,0.11217005263157895,10537000,-8196000,None,0,0.669,0,0,-0.86,0.883,-1.15,-0.488,-0.0871,-0.851,19793000,2140000,-0.86,0,-0.233,-,-,0.361,0.443,1.73,-2.252,4.185,True
7467,VVV,0.13047902899549396,0.09360718955319823,0.17413774698795187,6007443000,250700000,61.3,1.104,1.667,0.5,0.0143,0.57,7.21,0.327,0.139,0.033,0.448,1281600000,476400000,0.57,-0.043,0.158,61.3,23.7,4.328,18.08,6.02,26.11,1.381,True
